name	date
A-Mexico-4486-2009|2009.285	2009.285
A-Mexico-InDRE4487-2009|2009.285	2009.285
A-Texas-04-2009|2009.285	2009.285
A-Texas-15-2009|2009.288	2009.288
A-California-06-2009|2009.290	2009.290
A-Mexico-4604-2009|2009.299	2009.299
A-Indiana-09-2009|2009.307	2009.307
A-Canada-NS-RV1535-2009|2009.312	2009.312
A-Canada-ON-RV1527-2009|2009.312	2009.312
A-New-York-23-2009|2009.312	2009.312
A-California-14-2009|2009.315	2009.315
A-Mexico-47N-2009|2009.315	2009.315
A-New-York-10-2009|2009.315	2009.315
A-New-York-3191-2009|2009.315	2009.315
A-New-York-3214-2009|2009.315	2009.315
A-Texas-09-2009|2009.315	2009.315
A-Michigan-02-2009|2009.318	2009.318
A-New-York-3168-2009|2009.318	2009.318
A-New-York-1682-2009|2009.321	2009.321
A-New-York-3172-2009|2009.321	2009.321
A-New-York-3260-2009|2009.321	2009.321
A-New-York-3173-2009|2009.323	2009.323
A-New-York-3193-2009|2009.323	2009.323
A-Netherlands-602-2009|2009.326	2009.326
A-New-York-3099-2009|2009.326	2009.326
A-New-York-3190-2009|2009.326	2009.326
A-New-York-3261-2009|2009.326	2009.326
A-England-207-2009|2009.329	2009.329
A-Hong-Kong-01-2009|2009.329	2009.329
A-New-York-3232-2009|2009.329	2009.329
A-Paris-2580-2009|2009.329	2009.329
A-Paris-2590-2009|2009.329	2009.329
A-New-York-3187-2009|2009.332	2009.332
A-Korea-01-2009|2009.334	2009.334
A-Nonthaburi-102-2009|2009.348	2009.348
A-Norway-1168-2009|2009.348	2009.348
A-Narita-1-2009|2009.351	2009.351
A-Shandong-1-2009|2009.356	2009.356
A-Sichuan-1-2009|2009.356	2009.356
A-Beijing-01-2009|2009.370	2009.370
A-Osaka-C-1-2009|2009.373	2009.373
A-Osaka-1-2009|2009.373	2009.373
A-Hyogo-1-2009|2009.375	2009.375
A-Guangdong-1-2009|2009.378	2009.378
A-Beijing-3-2009|2009.384	2009.384
A-Moscow-01-2009|2009.386	2009.386
A-Fujian-1-2009|2009.389	2009.389
A-Shanghai-1-2009|2009.392	2009.392
A-Zhejiang-1-2009|2009.392	2009.392
A-Guangdong-2-2009|2009.403	2009.403
